artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Freddie Gibbs,1985,1p1b9LdLJ0REuFJX9mYtFX,63,152547,0.528,0.595,0,-10.35,0,0.281,0.337,0.0,0.389,0.36,130.396,4,Hip-Hop
Knxwledge,itkanbe[sonice],6QdcmLnJLkOhfN2y9KKt7k,49,103735,0.229,0.727,6,-3.047,0,0.143,0.141,4.67e-06,0.872,0.725,64.315,3,Alternative
Ghais Guevara,Shirk,6wRpfTqCgQowrmWQQ5hUv7,23,233713,0.444,0.942,7,-5.812,1,0.122,0.304,4.21e-06,0.343,0.0819,135.883,4,Electronic
Goyard Ibn Said,Hakuna Matata,0ArLnjO2dP5m9KHPLyLrWa,23,156995,0.595,0.922,1,-4.897,1,0.316,0.149,0.0,0.308,0.681,90.92,4,Anime
A Tribe Called Quest,Jazz (We've Got),7AgMX97ljLm9BzszyyXEYZ,62,250240,0.822,0.479,11,-15.962,1,0.271,0.719,4.42e-05,0.124,0.72,92.461,4,Alternative
Rejjie Snow,Cookie Chips,75yIue8dwthQA0QKd9ktyI,51,259907,0.457,0.633,5,-7.704,0,0.27,0.465,6e-05,0.114,0.543,91.863,4,Hip-Hop
Injury Reserve,Three Man Weave,7L4AtavGZEEDkVw1E0mDYn,49,206693,0.285,0.875,11,-4.187,0,0.315,0.0977,0.0,0.223,0.646,168.151,4,Alternative
Avantdale Bowling Club,Rent 2 High,1Ct4cKPBJXIIdiw3Hu1kvS,34,349120,0.733,0.438,7,-10.578,1,0.152,0.268,0.0251,0.0947,0.327,80.051,4,Jazz
Avantdale Bowling Club,F(r)iends,22SItrWEidaWyQJEVg6sMW,35,370640,0.64,0.677,10,-9.314,0,0.128,0.304,0.0,0.0985,0.275,123.983,4,Reggaeton
Laufey,Love to Keep Me Warm,3bq7dXN7arTdaq8mmKXxob,57,158133,0.669,0.208,0,-12.539,1,0.0692,0.97,0.000524,0.106,0.315,139.928,4,Indie
Geese,Space Race,298KB8Q8mUmqrMf3CtNVG7,31,261289,0.564,0.367,2,-10.018,1,0.0441,0.253,3.8e-05,0.173,0.477,118.849,4,Blues
McKinley Dixon,Live! From The Kitchen Table,5gcYcp5Tg5u4SO8zVa4nSS,18,203120,0.501,0.859,0,-3.889,1,0.148,0.616,0.0,0.845,0.774,136.803,4,Anime
Geese,Jesse,71h0heg5nqZ8JwuXahMWD9,34,175109,0.593,0.488,8,-8.909,1,0.0538,0.229,0.141,0.421,0.669,170.034,4,Blues
Radiohead,My Iron Lung,0jyikFM0Umv0KlnrOEKtTG,65,276427,0.242,0.859,0,-8.41,1,0.0663,0.0565,0.114,0.38,0.672,96.917,4,Alternative
Stan Getz,Corcovado (Quiet Nights Of Quiet Stars),0Wh99eifNTNqDFRtzWhCE2,63,256560,0.52,0.132,0,-17.857,1,0.0478,0.916,0.00101,0.246,0.377,127.355,4,Jazz
Drake,You Broke My Heart,5Se32hEA9raeboZerywxka,80,230709,0.465,0.7,10,-5.163,0,0.0893,0.203,0.0,0.299,0.276,120.854,4,Dance
4batz,act ii: date @ 8,4HMop4Re0iucehmF7mgV27,85,158537,0.718,0.417,5,-13.02,0,0.0502,0.435,8.73e-05,0.0748,0.749,138.811,4,R&B
4batz,"act i: stickerz ""99""",24A1MxM364lveyyDomwIYq,75,104468,0.483,0.22,8,-16.585,1,0.0864,0.456,0.00554,0.112,0.326,153.722,4,R&B
Alexandra Savior,But You,2SiNnD3em2ZwKT1oY0fIpo,31,173523,0.352,0.611,11,-6.917,0,0.0395,0.455,0.195,0.0952,0.198,79.858,4,Electronic
Big Thief,Velvet Ring - 2023 Remaster,3oBNQdDbNrs8wQbcZ3BXwP,64,155938,0.318,0.401,0,-11.944,1,0.0337,0.436,0.00564,0.151,0.277,138.528,4,Folk
Lucy Dacus,Hot & Heavy,6SIooImkHGKCIwgUZ3WDvD,60,250613,0.551,0.78,0,-6.659,1,0.055,0.0941,1.15e-06,0.11,0.421,135.023,4,Dance
Faye Webster,Jonny (Reprise),2wuE0xt20E6cB4PAXOmE5v,48,120120,0.317,0.512,6,-9.92,1,0.0363,0.0785,0.543,0.129,0.203,79.995,3,Folk
Alex G,Waiting for You (Bonus Track),5Uyn3WpyL7og1a0qEt9XLM,48,210333,0.291,0.253,5,-16.029,1,0.0295,0.89,0.851,0.0992,0.258,178.807,3,Classical
The Alchemist,E. Coli (feat. Earl Sweatshirt),3GXSywNvYLAVUCtjMHkKDh,71,132147,0.322,0.555,11,-8.726,0,0.129,0.208,0.00437,0.325,0.397,96.019,3,Rock
Travis Scott,Nightcrawler (feat. Swae Lee & Chief Keef),3xby7fOyqmeON8jsnom0AT,84,321560,0.522,0.728,3,-3.801,0,0.0323,0.00134,0.0,0.132,0.18,124.045,4,Pop
Unflirt,Crush,0D5DEPAygd5q2ULqY9WQyP,49,133120,0.572,0.259,7,-13.248,1,0.0274,0.259,0.572,0.124,0.2,110.008,4,Folk
Daniel Caesar,CYANIDE,3uouaAVXpQR3X8RYkJyitQ,72,194960,0.589,0.652,10,-7.498,1,0.373,0.704,0.00055,0.125,0.486,158.49,4,Hip-Hop
The Avalanches,We Will Always Love You,51wxtCuipwjvvT99wsSmCc,50,172040,0.535,0.626,2,-7.607,0,0.0418,0.4,0.752,0.102,0.176,160.106,4,Indie
Mazzy Star,"Cry, Cry",4u5ofLk8CMrtQnRaiIVH4O,55,238160,0.5,0.196,7,-15.632,1,0.0297,0.754,0.0423,0.105,0.138,123.008,4,Folk
Spacey Jane,Booster Seat,72RC6Kw32QfJi6RzlDKNxs,65,268880,0.629,0.55,11,-5.403,1,0.0263,0.042,1.21e-06,0.108,0.7,111.962,4,Dance
Radiohead,Planet Telex,37JISltgxizbDAyNEEqkTY,60,259200,0.429,0.881,9,-8.013,0,0.107,0.0213,0.688,0.607,0.258,148.963,3,Alternative
Elliott Smith,Son Of Sam,6tPiCU4LFsXUQPRIykOAnl,53,184293,0.522,0.79,9,-6.242,1,0.0252,0.00581,0.00102,0.288,0.244,96.062,4,Folk
Playboi Carti,Location,3yk7PJnryiJ8mAPqsrujzf,78,168784,0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.371,125.985,4,Hip-Hop
Taylor Swift,gold rush,3Dby3p1m6IOZn2gIIqECgK,68,185320,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,4,Folk
Car Seat Headrest,Weightlifters - Live at Brooklyn Steel,7tue713RgIGwLLSBEioKqU,26,322750,0.345,0.726,1,-9.406,0,0.0358,0.0235,0.413,0.509,0.167,115.523,4,Blues
Car Seat Headrest,Crows - Live at Brooklyn Steel,6yBq2At8DuQuoRp2RXfGiK,30,496500,0.344,0.567,4,-10.33,1,0.0528,0.0365,0.579,0.704,0.0878,122.683,4,Electronic
Sigur Rós,Flugufrelsarinn,2f4zQEtyo2gja8Kok7sNEc,40,467933,0.187,0.6,11,-7.013,0,0.0348,0.0291,0.512,0.195,0.0792,124.77,4,Electronic
Sigur Rós,Starálfur,55gISxV37mffOW2DbSskT3,49,406573,0.184,0.423,3,-9.335,1,0.0399,0.496,0.901,0.201,0.0954,137.74,4,Folk
Sigur Rós,Svefn-g-englar,07eGxuz8bL6QMsRqEe1Adu,56,606850,0.2,0.466,9,-12.298,1,0.0486,0.557,0.702,0.108,0.0572,136.913,5,Folk
Songs: Ohia,Hold On Magnolia,1XfGLgLHhRGAA16mpoZBUi,40,471200,0.247,0.28,4,-11.22,1,0.0294,0.752,0.0418,0.146,0.108,73.412,3,World
Del Water Gap,Glitter & Honey,4Ar1E0HhDOUwQyGzzHsED3,53,187400,0.744,0.564,9,-7.192,1,0.0517,0.235,7.86e-05,0.179,0.835,110.019,4,R&B
Elliott Smith,Waltz #2 (XO),5AMrnF761nziCWUfjBgRUI,60,280107,0.633,0.49,10,-7.668,1,0.0255,0.395,6.92e-05,0.0886,0.66,132.178,3,Alternative
Sufjan Stevens,"John Wayne Gacy, Jr.",2R3g9k14OAcUzZYwo90Tx6,51,199920,0.423,0.179,0,-14.852,0,0.0413,0.916,1.61e-05,0.12,0.179,78.738,4,Folk
Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz,84,298941,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4,Hip-Hop
