id,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
142171,ScHoolboy Q,Big Body,7fQzRNL3k0YUkhTTSuZgcg,49,223360,0.944,0.949,1,-5.606,0,0.19,0.0724,0.0,0.348,0.763,116.012,4.0,Hip-Hop
142281,ScHoolboy Q,Kno Ya Wrong,3yg7fx2DVjbQRLoROq3wA8,49,325600,0.398,0.765,2,-7.676,1,0.46,0.39,0.0,0.201,0.25,86.951,4.0,Hip-Hop
142750,ScHoolboy Q,Prescription/Oxymoron,3ljBzccXOpkHcGejRzHVjK,48,429667,0.531,0.91,11,-5.397,0,0.435,0.0495,0.00872,0.105,0.376,119.997,4.0,Hip-Hop
142884,Earl Sweatshirt,Uncle Al,76wXoUkBme6E5yPhXv6zfR,46,52627,0.646,0.746,7,-7.155,1,0.341,0.0981,0.0,0.42,0.585,47.092,4.0,Hip-Hop
144241,Pale Waves,There’s A Honey,7aZsTdQGRdbOhxBWA7ZMHv,50,230928,0.486,0.869,2,-4.013,1,0.045,0.000237,2.6e-05,0.0983,0.114,121.866,4.0,Indie
168266,Arcade Fire,Haiti,3Gkl2fJztF2B3fnUheejAA,50,247307,0.462,0.809,2,-7.309,1,0.038,0.265,0.128,0.638,0.458,99.902,4.0,Indie
168354,Arcade Fire,Neighborhood #2 (Laika),61ARSKFMwoVnIwXAVnfNNh,50,212000,0.555,0.876,11,-5.628,0,0.0369,0.0556,0.00503,0.121,0.961,130.703,4.0,Indie
168671,Arcade Fire,We Exist,3hDpkvXDbmcrKya8CUS6lN,51,343784,0.567,0.506,1,-8.742,1,0.0264,0.00731,0.205,0.103,0.358,116.392,4.0,Indie
168696,Arcade Fire,Suburban War,2rtDHB2fSisS34D0ArWg06,49,285133,0.313,0.853,5,-5.812,1,0.0372,0.0935,0.169,0.166,0.579,119.955,3.0,Indie
168798,Arcade Fire,Deep Blue,4OtIszkveMtijHSIp3EP4d,50,268133,0.542,0.821,7,-6.649,0,0.039,0.309,0.188,0.123,0.545,120.473,4.0,Indie
216528,ScHoolboy Q,Pig feet (feat. Childish Major),136vuV2kKsdloNJ1lxPiWh,59,195039,0.556,0.518,8,-8.661,1,0.306,0.346,5.71e-06,0.202,0.0772,145.042,4.0,Hip-Hop
216535,ScHoolboy Q,THank god 4 me,7CwO2esrH095tjxmJVMY2E,69,177261,0.721,0.566,2,-7.871,1,0.196,0.652,0.0,0.112,0.415,136.017,4.0,Hip-Hop
218524,Declan McKenna,Make Me Your Queen,5QJuMhGWTUB4t9BqR7ndL3,57,221360,0.491,0.666,2,-6.42,1,0.0317,0.00146,1.29e-06,0.104,0.26,125.041,4.0,Rock
220302,Earl Sweatshirt,Mac Deuce,37etCHGKSycDXh5YlTfTFY,50,128587,0.401,0.665,11,-9.923,1,0.0789,0.614,0.0244,0.211,0.563,75.049,4.0,Alternative
220304,Earl Sweatshirt,OD,6rxtMtFnhvuGZOTEVCQAEu,32,95077,0.37,0.777,11,-5.849,0,0.305,0.00616,0.00201,0.134,0.458,123.287,1.0,Electronic
220305,Earl Sweatshirt,2010,7ze7yEV1xvxPxuPaF0oUUU,46,148027,0.831,0.764,7,-6.327,0,0.386,0.314,1.72e-06,0.227,0.543,105.487,4.0,Reggae
220306,Earl Sweatshirt,The Caliphate (feat. Vince Staples),5zdaRJpmbs5lUHCOKn3K6e,44,230720,0.538,0.467,11,-11.792,0,0.121,0.351,0.000832,0.154,0.153,114.526,4.0,R&B
220309,Earl Sweatshirt,Sentry (feat. MIKE),5L2zGgJi9BlL3CjVF4KL7W,42,141187,0.47,0.5,2,-9.508,1,0.197,0.777,0.0,0.23,0.548,57.161,4.0,R&B
220764,Declan McKenna,The Phantom Buzz (Kick In),1wvh2OmuJkO9czmCKbuvpk,45,155341,0.409,0.915,7,-4.123,1,0.0882,0.0172,0.000283,0.385,0.427,142.847,4.0,Alternative
220770,Declan McKenna,Mezzanine,4Q2cdTTwNOE4AMlNi1rvoi,45,259067,0.609,0.661,0,-8.618,0,0.0372,0.0331,0.00153,0.335,0.669,116.425,4.0,Folk
220782,Declan McKenna,It's An Act,7fK9lEr01QJVJfukBFPEUV,42,300871,0.537,0.457,3,-10.28,1,0.0309,0.706,0.39,0.188,0.169,112.049,4.0,Folk
220786,Declan McKenna,Elevator Hum,7nRrO9tLVZRhtOcoQPRwQi,46,235835,0.467,0.896,9,-6.334,1,0.0442,0.0521,0.11,0.707,0.347,106.646,4.0,Electronic
221278,Arcade Fire,Song on the Beach,606R1WLtU2hPgl0YNfSJ4j,58,215622,0.599,0.00379,5,-31.414,1,0.0644,0.986,0.924,0.101,0.326,131.623,3.0,Classical
