artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,similarity
Christopher Cross,Arthur's Theme (Best That You Can Do),5LLjfEg69PW3fYFuzqm4jn,0,233986,0.529,0.589,9,-9.578,1,0.0367,0.0761,0.00363,0.0672,0.503,136.346,4.0,Dance,0.7999660648570737
Oingo Boingo,Dead Man's Party,2h47SG8bNphmicAll4H9RV,52,381627,0.575,0.843,1,-10.879,1,0.0395,0.512,0.000139,0.249,0.887,161.298,4.0,Dance,0.7999659792657159
MØ,Theme Song (I'm Far Away),1iUImy2tasM9RmL5TPkSVz,65,149122,0.659,0.435,1,-9.261,1,0.0743,0.57,0.00111,0.113,0.613,137.933,4.0,Dance,0.79996578594829
Novo Som,Estou Aqui,3gmUfTMhpEDDpfbhPCy4CC,24,228746,0.519,0.365,9,-10.198,1,0.0291,0.433,0.0,0.213,0.257,145.646,4.0,Dance,0.7999656890106336
Pantera,A New Level,5Tdx85q8KQIcIZJ9XoHblt,54,237466,0.302,0.868,9,-9.349,1,0.0688,5.68e-05,0.185,0.0888,0.454,136.572,4.0,Dance,0.7999655313262417
Backstreet Boys,The Perfect Fan,5XgxLtOR4oKxnfA7Fb4968,48,253467,0.422,0.396,9,-9.048,1,0.0306,0.579,0.0,0.12,0.319,141.098,4.0,Dance,0.7999644204542304
James Arthur,Certain Things (feat. Chasing Grace),5zvJELVKAnPkscGc5aLKJI,68,233467,0.406,0.62,9,-8.751,1,0.153,0.471,9.72e-05,0.0893,0.26,129.812,4.0,Dance,0.7999642478321013
Rubén Blades,Creo en Ti,0sEQzurXgmlhAOEVL4LQSS,30,271253,0.703,0.606,2,-9.817,1,0.0355,0.243,0.000392,0.0396,0.652,149.912,4.0,Dance,0.7999641759772294
DJ LILMAN;West End Tricks,Toast,39r7Qe9OnogjcCBDTYG9wI,14,161201,0.931,0.671,1,-9.231,1,0.261,0.0187,1.36e-05,0.0773,0.598,139.942,4.0,Dance,0.7999639139948006
Enrique Iglesias,Por Amarte,2Om6rNxZBUXZ1beo3U38rD,59,244027,0.64,0.505,9,-8.621,1,0.0292,0.181,0.00028,0.114,0.224,127.953,4.0,Dance,0.7999635878596576
The Aislers Set,Why Baby,0whprVibzmbCNK1215rESv,17,114480,0.371,0.554,1,-10.091,1,0.0341,0.195,0.00508,0.106,0.595,142.937,4.0,Dance,0.7999631557792334
King Princess,Upper West Side,7vfaRUaFBDwENwa3tzJY64,65,211413,0.635,0.496,9,-8.858,1,0.0338,0.277,0.00634,0.081,0.733,141.863,4.0,Dance,0.79996302354773
Celia Cruz;La Sonora Matancera,No Encuentro Palabras,43T1DZEtE6edC62ojuU5Dw,33,156866,0.719,0.434,9,-9.168,1,0.0462,0.779,5.92e-05,0.182,0.896,142.55,4.0,Dance,0.7999622602428353
Xscape,Who Can I Run To,0wdaPticLmmqJdhgLDJ9zI,59,216333,0.71,0.545,4,-9.599,1,0.0588,0.483,0.0,0.0644,0.632,140.233,4.0,Dance,0.7999622488039174
The Police,Don't Stand So Close To Me - Remastered 2003,4DIRsQfLk2mfcrIOQNgAlm,56,242667,0.806,0.499,2,-9.524,1,0.0642,0.0451,0.000729,0.038,0.505,140.337,4.0,Dance,0.7999617510236697
EXES,Quiet,1Vdi6aed78kVe8xSjX8qoN,55,209143,0.471,0.56,3,-9.546,1,0.0405,0.0848,0.000701,0.117,0.452,139.946,4.0,Dance,0.7999612322327236
Mvntana;Jdub,Play No Games (No Guidance),5PqLykInqe8C45DRkcIW0F,16,101093,0.872,0.599,1,-9.701,1,0.405,0.0351,0.000413,0.34,0.631,152.086,4.0,Dance,0.7999611600649247
MiłyPan,Królowa,2aUL3K9oSKea7rzFJRcFlQ,30,210460,0.856,0.823,9,-9.701,1,0.12,0.0538,4.96e-05,0.0489,0.968,138.013,4.0,Dance,0.7999605952037344
David Bowie,Suffragette City - 2012 Remastered Version,3YZa4IzxK2UtEKTvdTgsi8,58,208413,0.455,0.884,2,-9.159,1,0.0385,0.364,0.0,0.277,0.784,142.655,4.0,Dance,0.7999604006499119
Dj. Great,Bounce Ass - Original Mix,1sQ5zziiE3Ou1IPebmoWo2,15,156455,0.958,0.707,1,-8.674,1,0.108,0.0921,0.0107,0.19,0.412,134.998,4.0,Dance,0.7999601919778372
Céline Dion,The Power of Love,5kK1Iru9ogP3Iy1zsANU1n,67,342400,0.546,0.519,8,-9.072,1,0.0291,0.36,0.00046,0.24,0.247,140.054,4.0,Dance,0.7999596503518083
Colbie Caillat,Try,6buXDkw3Gv4fQC1OZKUhnR,60,224573,0.607,0.367,1,-9.758,1,0.0288,0.791,0.0,0.106,0.546,139.959,4.0,Dance,0.7999595946378691
New Kids On The Block,Please Don't Go Girl,5gpPbmP6htTn1BjMoTfCV0,0,269747,0.687,0.495,3,-9.819,1,0.0457,0.0809,2.85e-05,0.0544,0.537,152.034,4.0,Dance,0.7999595608681866
Christina Aguilera,I Turn to You,4Do68W4FWO2hRAJCzG1lus,58,273707,0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,4.0,Dance,0.7999591926856593
Tove Styrke,Vibe,7rXOrI115JVyhBfM2DRKwZ,57,174789,0.586,0.567,11,-8.832,1,0.0522,0.297,0.0,0.101,0.383,132.027,4.0,Dance,0.7999589183397914
Spoon,Everything Hits at Once,20gPDGp75RlBO8ojAytv5y,45,244240,0.785,0.575,9,-8.105,1,0.0341,0.213,0.000144,0.101,0.558,123.026,4.0,Dance,0.7999584283352166
Sasha Sloan,Hurt,0p1haRZ5xHBNwR9TxMMf8w,51,180031,0.715,0.513,0,-9.506,1,0.183,0.52,0.0049,0.135,0.372,136.029,4.0,Dance,0.7999584038824621
Lionel Richie,Dancing On The Ceiling,0snPJPxkk0MbTc0xeUvAPt,69,270720,0.698,0.774,0,-8.642,1,0.048,0.12,2.26e-06,0.394,0.731,133.197,4.0,Dance,0.7999583055769316
