id,artists,track_name,track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
79194,The Strokes,Modern Girls & Old Fashion Men,4yVixayMpxm2MUGOePA192,49,221627,0.506,0.604,9,-4.179,1,0.0283,0.0138,0.427,0.0435,0.347,110.921,4.0,Alternative
79330,Radiohead,Kid A,4x7XJOE2ml2P3o3i77466j,50,284507,0.63,0.429,5,-15.54,1,0.0356,0.261,0.85,0.309,0.168,112.93,4.0,Alternative
79358,Blood Orange,Jewelry,3boUSTv7CwQRiWuq8ZPjYi,50,272095,0.452,0.258,3,-11.901,0,0.04,0.484,0.000516,0.269,0.161,128.259,4.0,Alternative
79372,Radiohead,Optimistic,4DE6Wkt9fW7R5e9gJGWQim,49,315973,0.403,0.757,7,-9.931,0,0.0371,0.0496,0.848,0.305,0.573,157.957,4.0,Alternative
79413,The Smashing Pumpkins,Here Is No Why - Remastered 2012,5INe9EN6cNF6axQ4A4BQfy,46,225120,0.267,0.654,8,-7.063,1,0.0332,7.74e-05,0.895,0.136,0.599,80.885,4.0,Alternative
79423,Radiohead,The Bends,3aDUSpF3LexOr1lFKvPV2h,51,246200,0.288,0.757,0,-8.065,1,0.0652,0.0117,0.14,0.363,0.311,89.694,4.0,Alternative
79474,Radiohead,Knives Out,2xbrMtkxp399aSiCJ8EAON,52,254867,0.433,0.675,2,-6.702,0,0.0337,0.0911,0.293,0.159,0.184,137.268,4.0,Alternative
79480,The Smashing Pumpkins,Disarm,0Wl42CUb1phIU9O2aR1wXI,46,198467,0.515,0.426,4,-9.267,0,0.0278,0.0482,0.737,0.121,0.195,129.301,4.0,Alternative
79503,The Smashing Pumpkins,Quiet - Remastered,5h9qCxrIrS7atH6OEglH8X,41,222726,0.417,0.84,4,-7.861,1,0.032,1.22e-05,0.575,0.278,0.255,98.649,4.0,Alternative
79755,Radiohead,My Iron Lung,4dPKQxaraW6CG1rTBzV6DW,52,276427,0.242,0.859,0,-8.4,1,0.0663,0.056,0.116,0.38,0.671,96.929,4.0,Alternative
79784,Radiohead,You And Whose Army?,6UFvGJalSngqprmUJd59Eo,52,191000,0.295,0.15,1,-10.243,0,0.0325,0.794,0.208,0.103,0.131,137.393,4.0,Alternative
79856,The Smashing Pumpkins,Perfect,5DuaMIvmPyT3oEvuccx6JO,48,202853,0.644,0.912,7,-6.327,1,0.0436,0.00911,0.647,0.449,0.54,114.289,4.0,Alternative
79862,The Smashing Pumpkins,Geek U.S.A. - Remastered,7Jh4ySrytQOaDPF4XVUnv1,40,313267,0.303,0.925,8,-7.33,1,0.0622,9.27e-06,0.759,0.0707,0.303,125.252,4.0,Alternative
79940,The Smashing Pumpkins,Muzzle - Remastered 2012,6UuGRkwfLwBAfmHktU9GNA,45,223920,0.25,0.685,10,-8.731,0,0.0344,7.37e-06,0.822,0.0939,0.336,90.315,4.0,Alternative
80091,The Strokes,Between Love & Hate,5OmumaYiHYXUsYZPGLFTYJ,44,196348,0.453,0.61,9,-4.935,1,0.0254,5.35e-05,0.545,0.101,0.525,104.188,4.0,Alternative
80097,The Strokes,On the Other Side,6oqJLFTbJ6PkgPfU0Mtjix,43,276507,0.605,0.811,10,-2.341,1,0.0316,0.00367,0.000116,0.135,0.548,108.992,4.0,Alternative
80278,Radiohead,My Iron Lung (2 Meter Session),0q3X2Ichc3Q2QJRciJcIGT,50,276100,0.293,0.82,0,-9.578,1,0.0387,0.00814,0.248,0.135,0.787,96.676,4.0,Alternative
80311,Radiohead,Electioneering,6PBHfI3G8MlQ8qdItoVoxL,49,230627,0.185,0.889,9,-5.491,0,0.0743,0.00267,0.0981,0.291,0.331,77.555,4.0,Alternative
80330,Radiohead,Identikit,3LhtqibvTtjOUrzKs7Vsz1,50,266644,0.692,0.458,11,-9.461,0,0.0403,0.0635,0.516,0.136,0.35,150.695,4.0,Alternative
80360,Radiohead,Climbing Up the Walls,0R332cdlS9LyE0Ge2PSlVC,50,285200,0.172,0.655,11,-7.476,0,0.042,0.0971,0.128,0.195,0.221,78.653,4.0,Alternative
80367,Radiohead,Ful Stop,4CzTgOmc3Sdm4EgKQWzjQl,50,367349,0.426,0.661,0,-9.877,1,0.0503,0.353,0.94,0.619,0.178,151.191,3.0,Alternative
80440,Radiohead,(Nice Dream),4QbQ55kHcRNho6XLaPctT1,51,233227,0.262,0.567,9,-11.075,1,0.0344,0.161,0.263,0.225,0.377,172.857,3.0,Alternative
80577,The Smashing Pumpkins,To Forgive - Remastered 2012,428dyogxbsqj9U5leQ9why,45,257267,0.581,0.314,1,-12.589,1,0.0267,0.0203,0.763,0.111,0.0514,126.728,4.0,Alternative
80665,Blood Orange,E.V.P.,0e43YnIeghIkDOW146x3G5,48,343570,0.71,0.692,10,-7.68,1,0.0568,0.00262,0.0128,0.132,0.29,104.983,4.0,Alternative
80691,The Smashing Pumpkins,Stand Inside Your Love,3RciEQxS7PxtLqMs7OwRsU,47,254493,0.271,0.759,6,-7.419,1,0.0327,3.37e-06,0.842,0.335,0.381,136.081,4.0,Alternative
80750,Blood Orange,Sutphin Boulevard,2NtqI3Ylig7bB36esIwYuE,42,214040,0.841,0.383,11,-10.437,0,0.0675,0.000523,0.247,0.118,0.858,99.77,4.0,Alternative
80768,The Smashing Pumpkins,Landslide,46jNNisjr8iE3jkNtrtWFl,47,190173,0.424,0.217,10,-15.066,1,0.0319,0.905,0.0204,0.143,0.356,111.648,3.0,Alternative
80955,The Smashing Pumpkins,Spaceboy - Remastered,0KQbsC4lUfm0qmRW68g6BF,39,267307,0.363,0.322,0,-11.539,1,0.0384,0.0133,0.581,0.105,0.208,121.427,4.0,Alternative
81021,Radiohead,Desert Island Disk,1kBGeOp1CDUHVdbK4ergqo,49,224698,0.561,0.282,0,-13.241,1,0.0286,0.868,0.529,0.11,0.158,112.011,,Alternative
81056,Radiohead,Black Star,6JzzI3YxHCcjZ7MCQS2YS1,49,247040,0.288,0.555,7,-7.431,1,0.0401,0.00312,0.0513,0.27,0.307,158.699,4.0,Alternative
81180,Radiohead,The Tourist,75YUnz58ajMo2VIIuUFvOV,49,326533,0.241,0.295,4,-8.571,1,0.0319,0.224,0.0328,0.11,0.0398,114.759,5.0,Alternative
81236,Radiohead,I Might Be Wrong,0JhpYE9xA3UpSFrmXTZyIF,49,293773,0.601,0.735,7,-8.321,0,0.0255,0.263,0.795,0.11,0.505,102.891,4.0,Alternative
81328,Radiohead,A Wolf At the Door,66cuLvkHsW7dNkfNk6gQP9,49,201333,0.48,0.675,7,-7.134,1,0.029,0.265,4.23e-06,0.235,0.37,138.784,3.0,Alternative
81436,The Smashing Pumpkins,Silvery Sometimes (Ghosts),4b5dJnsSUGb5txdsbasJ9P,38,210661,0.56,0.966,2,-1.018,1,0.0353,4.73e-05,0.00129,0.179,0.468,130.968,4.0,Alternative
81548,Radiohead,Man of War,552BIJ9kKwwqiGf4YojYbL,51,269093,0.274,0.472,9,-7.614,0,0.0263,0.0131,0.069,0.0802,0.14,148.996,4.0,Alternative
81551,The Smashing Pumpkins,Silverfuck - Remastered,6qzPIHZ3iujtOYjNkA5CL3,38,522653,0.294,0.46,2,-11.808,1,0.0519,0.00366,0.801,0.0841,0.0373,126.717,4.0,Alternative
